"user_id","channel_id","event_key","active","last_notified_occurrence_ms"
"272370075879866369","1501304144139653193","battle phase","true",""
"272370075879866369","1501304144139653193","bear 1","true",""
"272370075879866369","1501304144139653193","bear 2","true",""
"272370075879866369","1501304144139653193","internal castle","true",""
"272370075879866369","1501304144139653193","kvk castle","true",""
"612726128137863169","1501304144139653193","battle phase","true",""
"612726128137863169","1501304144139653193","bear 1","true",""
"612726128137863169","1501304144139653193","bear 2","true",""
"612726128137863169","1501304144139653193","internal castle","true",""
"612726128137863169","1501304144139653193","kvk castle","true",""
"184465495620059136","1501304144139653193","battle phase","true",""
"184465495620059136","1501304144139653193","bear 1","true",""
"184465495620059136","1501304144139653193","bear 2","true",""
"184465495620059136","1501304144139653193","internal castle","true",""
"184465495620059136","1501304144139653193","kvk castle","true",""
"224439553828716544","1501304144139653193","battle phase","true",""
"224439553828716544","1501304144139653193","bear 1","true",""
"224439553828716544","1501304144139653193","bear 2","true",""
"224439553828716544","1501304144139653193","internal castle","true",""
"224439553828716544","1501304144139653193","kvk castle","true",""
"1008026664384614513","1501304144139653193","battle phase","true",""
"1008026664384614513","1501304144139653193","bear 1","true",""
"1008026664384614513","1501304144139653193","bear 2","true",""
"1008026664384614513","1501304144139653193","internal castle","true",""
"1008026664384614513","1501304144139653193","kvk castle","true",""
"389029685624832020","1501304144139653193","battle phase","true",""
"389029685624832020","1501304144139653193","bear 1","true",""
"389029685624832020","1501304144139653193","bear 2","true",""
"389029685624832020","1501304144139653193","internal castle","true",""
"389029685624832020","1501304144139653193","kvk castle","true",""
"344579786418552834","1501304144139653193","battle phase","true",""
"344579786418552834","1501304144139653193","bear 1","true",""
"344579786418552834","1501304144139653193","bear 2","true",""
"344579786418552834","1501304144139653193","internal castle","true",""
"344579786418552834","1501304144139653193","kvk castle","true",""
"869416447116468255","1501304144139653193","battle phase","true",""
"869416447116468255","1501304144139653193","bear 1","true",""
"869416447116468255","1501304144139653193","bear 2","true",""
"869416447116468255","1501304144139653193","internal castle","true",""
"869416447116468255","1501304144139653193","kvk castle","true",""
"1298505011776458762","1501304144139653193","battle phase","true",""
"1298505011776458762","1501304144139653193","bear 1","true",""
"1298505011776458762","1501304144139653193","bear 2","true",""
"1298505011776458762","1501304144139653193","internal castle","true",""
"1298505011776458762","1501304144139653193","kvk castle","true",""
"1380652680191545354","1501304144139653193","battle phase","true",""
"1380652680191545354","1501304144139653193","bear 1","true",""
"1380652680191545354","1501304144139653193","bear 2","true",""
"1380652680191545354","1501304144139653193","internal castle","true",""
"1380652680191545354","1501304144139653193","kvk castle","true",""
"1390535548476850296","1501304144139653193","battle phase","true",""
"1390535548476850296","1501304144139653193","bear 1","true",""
"1390535548476850296","1501304144139653193","bear 2","true",""
"1390535548476850296","1501304144139653193","internal castle","true",""
"1390535548476850296","1501304144139653193","kvk castle","true",""
"1405660107475390605","1501304144139653193","battle phase","true",""
"1405660107475390605","1501304144139653193","bear 1","true",""
"1405660107475390605","1501304144139653193","bear 2","true",""
"1405660107475390605","1501304144139653193","internal castle","true",""
"1405660107475390605","1501304144139653193","kvk castle","true",""
"1381416830027042866","1501304144139653193","battle phase","true",""
"1381416830027042866","1501304144139653193","bear 1","true",""
"1381416830027042866","1501304144139653193","bear 2","true",""
"1381416830027042866","1501304144139653193","internal castle","true",""
"1381416830027042866","1501304144139653193","kvk castle","true",""
